Entry;Score
A2T3S0;3
A3EX96;3
O39520;3
O40976;3
O71121;3
O72907;3
P03543;3
P03565;3
P05664;3
P06946;3
A4ZCW8;3
O91081;3
F5HEN8;3
P14357;3
P01136;3
P04318;3
P68611;3
P17362;3
Q80HY2;3
P17374;3
P11158;3
Q89121;3
P18384;3
P07396;3
P23373;3
P12923;3
P12848;3
P12927;3
P16713;3
P68458;3
Q80HX0;3
P68317;3
P68563;3
P68609;3
P07392;3
P07240;3
P68438;3
P04195;3
A2T3T0;3
P03467;3
P0C992;3
P0CK42;3
P15681;3
P17595;3
P50789;3
P50817;3
P87503;3
Q02515;3
Q07FI1;3
Q2HRB3;3
Q6GZR5;3
Q6UDH7;3
Q9INJ1;3
Q9Q8N6;3
A7J398;3
B2BNE0;3
O72539;3
P03102;3
P22424;3
P24907;3
P26056;3
P26074;3
A0MD33;3
A2T3M0;3
A4ZU96;3
A7U6F3;3
B9UYK7;3
F5HC79;3
O10440;3
O55761;3
P00544;3
P03214;3
P0C8G5;3
P0CK04;3
P0DSS6;3
A1YTU9;3
F5HC33;3
O57173;3
P07331;3
P0C8F4;3
P11265;3
P14547;3
P16592;3
P19030;3
P22116;3
P26579;2
P36317;3
Q6UDJ1;3
Q86341;3
Q8JU58;2
Q98745;3
Q99152;3
Q9QNB0;3
O10308;2
P03099;3
P0DOF3;3
Q3KSN9;3
A0A7H0DNC3;3
Q01218;3
Q8B9Q8;3
P50816;3
I0DF35;4
P00524;4
P0DTC7;4
Q6TQR6;4
Q89462;4
A0A7H0DNB5;4
A0AUJ5;4
A0MD28;4
A2T3P5;4
A4KZ49;4
J3TRD1;4
O36635;4
P0C0U1;4
P20979;4
P21411;4
P54634;4
P69479;4
P69711;4
Q1K9Q5;4
P12397;4
Q73367;4
Q8B0H0;4
Q8B912;4
Q8JTH2;4
Q98325;4
Q9Z034;4
A2SZS3;4
P04009;4
A0PJ24;4
B2BNE1;4
Q6UDJ5;4
Q8JMN0;4
Q9IMP5;4
Q27YE5;4
V5IVB1;4
Q98776;4
Q90038;4
P07939;4
P12478;4
Q5MQD1;4
Q9YMV2;4
Q6UY69;4
P15423;4
P0DOI3;4
P0DSV7;4
A0A0B5AC19;4
A0A7H0DNE6;4
A0MD31;4
A1Z0Q5;4
A2T3T2;4
A2T3Q0;4
A3DRP0;4
A3DRP1;4
A3EX94;4
A3RM20;4
A4GCJ2;4
A5HBG1;4
A8Y984;4
A8Y987;4
C5IY43;4
C6S3N3;4
D8V078;4
F5HAK9;4
F5HB53;4
F5HB81;4
F5HCH8;4
Q89709;4
Q89501;4
Q85646;4
Q81871;4
Q66862;4
Q66814;4
Q65667;4
Q65202;4
Q997F2;4
Q786F3;4
Q91PB2;4
Q77DJ6;4
Q9J3N1;4
Q9IMM4;4
Q9DGW5;4
Q8BDE6;4
Q8B6J5;4
Q8B0I2;4
Q6WB94;4
Q6UY71;4
P04863;4
Q6SW67;4
Q5VKP1;4
Q4U0X7;4
P30211;4
P0DOO3;4
Q2PDK5;4
P09712;4
A3EXG6;4
P05883;4
P05884;4
Q66810;4
Q8B0H1;4
Q9QPN3;4
P11209;4
P24851;4
Q0HD60;4
O89943;4
O93182;4
P03075;4
P0C1J9;4
P0C1K4;4
P0C1K7;4
P0C6F6;4
P0DOJ4;4
P0DTJ0;4
P13894;4
P19552;4
P29324;4
P31623;4
P51517;4
Q02385;4
Q289M7;4
P29833;4
P04134;4
B2MW49;4
O90369;4
P03117;4
P04487;4
P06447;4
P08362;4
P0C774;4
P12905;4
P30662;4
Q05059;4
Q3YPH4;4
Q5XX07;4
O57209;4
P12538;4
P29833;4
Q3I5J5;4
Q76638;4
P60170;4
P18272;4
P05928;4
P17101;4
P05923;4
O91734;5
P03345;5
P0DTC1;5
P0DTD1;5
P0DTC2;5
P0DTC9;5
P04585;5
P04591;5
P04608;5
P04578;5
P04601;5
Q05127;5
P03206;5
P03211;5
P08393;5
P10238;5
P03129;5
P03120;5
P19811;5
P69723;5
P03428;5
P03126;5
P03496;5
P04298;5
P07617;5
P21605;5
P03433;5
P03070;5
P03134;5
P03316;5
P03365;5
P03404;5
P03406;5
P04618;5
P04936;5
P12978;5
P26662;5
P27282;5
P29991;5
Q6YMS4;5
Q74120;5
A0A024B7W1;5
P03303;5
P03313;5
P03315;5
P0C6Y4;5
P12296;5
P26663;5
P36328;5
P16790;5
P03418;5
P03431;5
P03468;5
P04324;5
P04517;5
P04580;5
P05919;5
P06463;5
P07399;5
P03116;5
P03132;5
P08392;5
P06789;5
B9VUU3;5
C0MHL9;5
P42494;5
P59594;5
Q05320;5
P03147;5
P03255;5
P03087;5
P03354;5
P03375;5
D7RF80;5
P0DTC3;5
P69726;5
Q70626;5
Q05323;5
Q05322;5
Q05128;5
Q9PZT0;5
Q9IH62;5
Q8BB16;5
P69596;5
P69332;5
O36307;5
A5HC98;5
P03186;5
P03208;5
P03265;5
P03377;5
P03420;5
P03474;5
P03519;5
P0C6X7;5
P04610;5
P08544;5
P13901;5
P18356;5
D0EZM8;5
K9N4V7;5
O73557;5
P03086;5
P03088;5
P03146;5
P06492;5
P07239;5
P0DOE5;5
P0DTC5;5
P35260;5
P59637;5
P90495;5
Q2HR80;5
Q89268;5
Q8JPY0;5
Q9PZT1;5
P68638;5
P22363;5
P05878;5
P03416;5
P10221;5
P33469;5
P0DTC4;5
P03495;5
P12488;5
P04545;5
P03421;5
P23456;5
P03520;5
P28887;5
Q6Q1S2;5
P35961;5
P06821;5
P04296;5
P16753;5
P59596;5
P0DTD2;5
P14079;5
P04512;5
P05880;5
P09991;5
P0DTC8;5
P11224;5
P12520;5
P14240;5
P17455;5
Q69091;5
Q8AZK7;5
Q9IK91;5
P10220;5
O41799;3
P03554;3
P12599;3
P16732;4
P30321;3
Q1A248;3
Q8JTI5;3
C1JCT2;4
P03093;4
P05854;4
P0C731;4
P12651;3
P17880;4
P31343;4
P38485;3
P69333;4
